[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
20 26 42 43 4 0 100 14.493 79.726
20 26 43 44 4 0 100 75.672 76.648
20 26 44 45 4 0 100 23.596 77.126
26 32 0 1 4 0 100 59.703 74.314
26 32 1 2 4 0 100 100.000 2.555
26 32 2 3 4 0 100 68.570 2.535
26 32 3 4 4 0 100 40.505 2.701
26 32 4 5 4 0 100 44.063 2.646
26 32 5 6 4 0 100 42.877 2.596
26 32 6 7 4 0 100 37.936 2.569
26 32 7 8 4 0 100 38.038 2.546
26 32 8 9 4 0 100 40.871 2.525
26 32 9 10 4 0 100 39.787 2.499
26 32 10 11 4 0 100 38.015 2.473
26 32 11 12 4 0 100 42.638 2.432
26 32 12 13 4 0 100 42.587 2.436
26 32 13 14 4 0 100 44.783 2.405
26 32 14 15 4 0 100 42.718 2.393
26 32 15 16 4 0 100 45.994 2.380
26 32 16 17 4 0 100 45.814 2.372
26 32 17 18 4 0 100 45.429 2.358
26 32 18 19 4 0 100 46.033 2.346
26 32 19 20 4 0 100 48.707 2.332
26 32 20 21 4 0 100 45.051 2.328
26 32 21 22 4 0 100 53.787 2.306
26 32 22 23 4 0 100 51.615 2.321
26 32 23 24 4 0 100 44.231 2.298
26 32 24 25 4 0 100 51.418 2.272
26 32 25 26 4 0 100 48.223 2.270
26 32 26 27 4 0 100 54.364 2.261
26 32 27 28 4 0 100 70.466 2.241
26 32 28 29 4 0 100 51.591 2.295
26 32 29 30 4 0 100 70.693 2.251
26 32 30 31 4 0 100 78.547 2.215
26 32 31 32 4 0 100 91.562 2.113
26 32 32 33 4 0 100 100.000 2.196
26 32 33 34 4 0 100 100.000 2.110
26 32 34 35 4 0 100 100.000 2.219
26 32 35 36 4 0 100 100.000 2.203
26 32 36 37 4 0 100 100.000 2.264
26 32 37 38 4 0 100 100.000 1.988
26 32 38 39 4 0 100 9.305 100.000
26 32 39 40 4 0 100 100.000 2.167
26 32 40 41 4 0 100 100.000 2.294
26 32 41 42 4 0 100 75.277 49.896
26 32 42 43 4 0 100 25.869 64.581
26 32 43 44 4 0 100 78.232 68.002
26 32 44 45 4 0 100 82.336 99.560
32 40 0 1 4 0 100 14.227 99.093
32 40 1 2 4 0 100 100.000 2.704
32 40 2 3 4 0 100 54.580 2.698
32 40 3 4 4 0 100 43.669 2.722
32 40 4 5 4 0 100 41.023 2.716
32 40 5 6 4 0 100 39.271 2.691
32 40 6 7 4 0 100 38.389 2.657
32 40 7 8 4 0 100 41.284 2.628
32 40 8 9 4 0 100 40.235 2.605
32 40 9 10 4 0 100 38.496 2.605
32 40 10 11 4 0 100 38.988 2.557
32 40 11 12 4 0 100 40.555 2.561
32 40 12 13 4 0 100 40.976 2.538
32 40 13 14 4 0 100 43.184 2.492
32 40 14 15 4 0 100 40.397 2.503
32 40 15 16 4 0 100 39.428 2.482
32 40 16 17 4 0 100 45.650 2.444
32 40 17 18 4 0 100 41.635 2.444
32 40 18 19 4 0 100 47.772 2.413
32 40 19 20 4 0 100 44.561 2.451
32 40 20 21 4 0 100 41.862 2.421
32 40 21 22 4 0 100 44.620 2.409
32 40 22 23 4 0 100 47.198 2.418
32 40 23 24 4 0 100 48.735 2.387
32 40 24 25 4 0 100 51.676 2.380
32 40 25 26 4 0 100 49.670 2.343
32 40 26 27 4 0 100 54.354 2.362
32 40 27 28 4 0 100 52.502 2.362
32 40 28 29 4 0 100 61.350 2.304
32 40 29 30 4 0 100 55.768 2.288
32 40 30 31 4 0 100 60.252 2.324
32 40 31 32 4 0 100 65.362 2.344
32 40 32 33 4 0 100 64.649 2.316
32 40 33 34 4 0 100 71.726 2.226
32 40 34 35 4 0 100 86.481 2.296
32 40 35 36 4 0 100 100.000 2.254
32 40 36 37 4 0 100 100.000 2.186
32 40 37 38 4 0 100 100.000 2.054
32 40 38 39 4 0 100 12.185 80.897
32 40 39 40 4 0 100 72.053 39.838
32 40 40 41 4 0 100 100.000 2.253
32 40 41 42 4 0 100 28.225 43.388
32 40 42 43 4 0 100 52.396 92.801
32 40 43 44 4 0 100 49.397 64.790
32 40 44 45 4 0 100 54.178 28.857
40 51 0 1 4 0 100 11.035 99.994
40 51 1 2 4 0 100 100.000 2.608
40 51 2 3 4 0 100 91.637 2.853
40 51 3 4 4 0 100 41.673 2.894
